Y (mm),Density at X = 2.216 mm (atoms/mm³)
-1.9891499999999998,91604883.35398917
-1.9757999999999998,87354555.79364462
-1.9624499999999998,96734855.01627906
-1.9490999999999998,97872974.20732428
-1.9357499999999999,115744177.71720853
-1.9223999999999999,102977899.34001108
-1.90905,92960736.22834124
-1.8957,116825465.92744383
-1.88235,141746895.25158197
-1.8689999999999998,132863709.58717602
-1.8556499999999998,130202262.83053184
-1.8422999999999998,152256982.74616086
-1.8289499999999999,99995017.51647422
-1.8155999999999999,103924268.09580797
-1.80225,146999006.9801959
-1.7889,180610206.3588593
-1.77555,153605512.2343415
-1.7621999999999998,168412359.5804718
-1.7488499999999998,178894084.2360137
-1.7354999999999998,171419774.83749542
-1.7221499999999998,157583186.72244498
-1.7087999999999999,170555339.305645
-1.69545,159716108.28632283
-1.6821,182818702.85911962
-1.66875,160636799.7254982
-1.6554,186498852.56153655
-1.6420499999999998,173443319.80123878
-1.6286999999999998,154671425.5397741
-1.6153499999999998,157771099.1436014
-1.6019999999999999,151852880.12624043
-1.58865,197514495.8268601
-1.5753,171959732.3340202
-1.56195,170642596.86001095
-1.5486,184039780.89614418
-1.5352499999999998,197734467.60817093
-1.5218999999999998,180715084.70751157
-1.5085499999999998,199592253.25274387
-1.4951999999999999,210687474.77538624
-1.48185,198704827.22150943
-1.4685,176424731.52063337
-1.45515,195333587.25054172
-1.4418,217746644.06538546
-1.42845,226717250.02037856
-1.4150999999999998,214478290.75566822
-1.4017499999999998,252614617.44788644
-1.3883999999999999,233283062.4770727
-1.3750499999999999,251890521.38047463
-1.3617,252000051.70792064
-1.34835,247569767.31662086
-1.335,252547246.9566369
-1.32165,240462539.49475655
-1.3082999999999998,248100689.60864338
-1.2949499999999998,222129008.07777345
-1.2815999999999999,231260350.84247375
-1.2682499999999999,217034110.2156409
-1.2549,233116898.85521364
-1.24155,221616348.91022167
-1.2282,233466671.993349
-1.21485,258566014.83133927
-1.2015,257069424.57145184
-1.1881499999999998,255796647.97531152
-1.1747999999999998,262054299.40926987
-1.1614499999999999,235697552.18683
-1.1481,240253491.69242227
-1.13475,249138655.9885652
-1.1214,269427316.7819252
-1.10805,235094460.20783913
-1.0947,248301065.9205852
-1.0813499999999998,295504421.97076833
-1.0679999999999998,207247959.35699347
-1.0546499999999999,232653975.22360367
-1.0413,288677223.7211796
-1.02795,277904159.91634065
-1.0146,273491337.61621404
-1.00125,297386662.0441008
-0.9878999999999999,274409735.2319347
-0.9745499999999999,280162650.60219073
-0.9611999999999999,267263566.00367188
-0.94785,273940461.60434204
-0.9344999999999999,254660934.71814972
-0.9211499999999999,332957747.2279171
-0.9077999999999999,277179578.7344894
-0.89445,291958611.2519423
-0.8810999999999999,320171649.83017594
-0.8677499999999999,265387139.63715956
-0.8543999999999999,307104903.9614616
-0.84105,286320659.9358735
-0.8277,305684223.26822233
-0.8143499999999999,302846127.2419237
-0.8009999999999999,323776008.29070693
-0.78765,308685504.1251783
-0.7743,327080430.78765035
-0.7609499999999999,287753715.065972
-0.7475999999999999,301678978.87236035
-0.73425,280979818.3927928
-0.7209,286082733.89370483
-0.7075499999999999,295254653.1844079
-0.6941999999999999,339718844.6149393
-0.68085,249840183.2016188
-0.6675,303582378.14320344
-0.6541499999999999,296098389.2241604
-0.6407999999999999,343391196.9002575
-0.62745,291658397.3344006
-0.6141,332708045.49952024
-0.60075,328585836.154153
-0.5873999999999999,282607851.3703752
-0.57405,316658734.4631651
-0.5607,296073445.2793023
-0.54735,282914538.0731765
-0.5339999999999999,311393835.712588
-0.52065,353744846.70817393
-0.5073,306024128.2181077
-0.49394999999999994,308424274.07349485
-0.48059999999999997,286859539.8969383
-0.46724999999999994,282607984.1199434
-0.45389999999999997,291427346.65537363
-0.44054999999999994,349913951.71135455
-0.42719999999999997,331393542.9140816
-0.41385,324686062.01849586
-0.40049999999999997,339371715.61849284
-0.38715,308959477.30288064
-0.37379999999999997,259153484.32800347
-0.36045,248769649.1098332
-0.34709999999999996,307579240.40111387
-0.33375,358124599.47279316
-0.32039999999999996,298563818.25762415
-0.30705,276418836.95334244
-0.29369999999999996,281780800.8853172
-0.28035,322125755.3182236
-0.26699999999999996,305424477.6125972
-0.25365,270931573.47827286
-0.24029999999999999,225330590.3998908
-0.22694999999999999,280974020.32341486
-0.21359999999999998,322816676.04933983
-0.20024999999999998,310968283.9011879
-0.18689999999999998,268701348.1498902
-0.17354999999999998,304554131.73990536
-0.16019999999999998,266924785.5164072
-0.14684999999999998,240065395.19207385
-0.13349999999999998,271164063.8812162
-0.12014999999999999,241722492.14915007
-0.10679999999999999,257818689.50283045
-0.09344999999999999,294861071.47474635
-0.08009999999999999,307637625.6663964
-0.06674999999999999,337416000.12251484
-0.053399999999999996,295027291.76859593
-0.040049999999999995,266784140.31582978
-0.026699999999999998,293944172.6528604
-0.013349999999999999,315562540.9037672
0.0,278770294.2609456
0.013349999999999999,326476041.6077709
0.026699999999999998,297201229.3659602
0.040049999999999995,303565836.3433616
0.053399999999999996,320350965.7975533
0.06674999999999999,314698780.531516
0.08009999999999999,337581794.7762738
0.09344999999999999,308255681.7566598
