Y (mm),Density at X = 5.260 mm (atoms/mm³)
-1.9891499999999998,7226416.521356719
-1.9757999999999998,-12435461.885842731
-1.9624499999999998,-12574508.18855709
-1.9490999999999998,-7940404.818531283
-1.9357499999999999,-5855572.732067238
-1.9223999999999999,-11847984.949897092
-1.90905,-3924299.4697789648
-1.8957,-9457914.319498396
-1.88235,-7333949.971858393
-1.8689999999999998,-11275501.046416553
-1.8556499999999998,1725933.023621905
-1.8422999999999998,5489336.540947753
-1.8289499999999999,-8518273.799008895
-1.8155999999999999,-5821868.086266026
-1.80225,9480518.30713994
-1.7889,-1024611.972643659
-1.77555,4896739.490964957
-1.7621999999999998,4720311.684649566
-1.7488499999999998,-816620.7123985
-1.7354999999999998,781061.5419217885
-1.7221499999999998,-3362639.355932456
-1.7087999999999999,-14355020.884394387
-1.69545,-19780337.20798546
-1.6821,-14858595.970531596
-1.66875,-6190857.064946371
-1.6554,9983704.487746878
-1.6420499999999998,14949747.420713238
-1.6286999999999998,7515587.376855812
-1.6153499999999998,8565716.996462043
-1.6019999999999999,13351119.188820472
-1.58865,26937092.436665624
-1.5753,10389622.058495067
-1.56195,-2123635.5026877057
-1.5486,-18392217.42045299
-1.5352499999999998,-12139314.147249125
-1.5218999999999998,-537201.156464458
-1.5085499999999998,668376.8467700165
-1.4951999999999999,-2462819.5583422706
-1.48185,209104.7134491474
-1.4685,-17465528.662551455
-1.45515,-16837197.867599178
-1.4418,-4550122.715870753
-1.42845,-13045450.872667551
-1.4150999999999998,1184228.918105709
-1.4017499999999998,7625213.361126311
-1.3883999999999999,6973357.2625519885
-1.3750499999999999,2730171.131512756
-1.3617,1675759.9108443756
-1.34835,8521108.921188127
-1.335,12119310.101607189
-1.32165,2197407.1256088843
-1.3082999999999998,-16088875.720756982
-1.2949499999999998,-10263132.369793244
-1.2815999999999999,-6647430.7647972535
-1.2682499999999999,-19727676.484935563
-1.2549,-17754079.067866333
-1.24155,-13533685.455779023
-1.2282,-9041761.632236017
-1.21485,6473518.648556251
-1.2015,6542779.6961408835
-1.1881499999999998,11725516.116906898
-1.1747999999999998,2881112.2317044265
-1.1614499999999999,-5582650.1135514425
-1.1481,-21463257.726896748
-1.13475,-17300592.757044833
-1.1214,-2147079.899841912
-1.10805,-7059069.910972753
-1.0947,-10791713.137627799
-1.0813499999999998,-2147289.1680527497
-1.0679999999999998,-14220414.391277647
-1.0546499999999999,-16883217.839818016
-1.0413,-21173408.974442136
-1.02795,-27692944.549248837
-1.0146,-23383809.462079223
-1.00125,-25117489.37711595
-0.9878999999999999,-49916998.243694514
-0.9745499999999999,-5394599.3675839435
-0.9611999999999999,4649771.900795785
-0.94785,2357278.1240300126
-0.9344999999999999,-4996563.557974188
-0.9211499999999999,7497049.07368917
-0.9077999999999999,10987758.294834226
-0.89445,10482165.069689978
-0.8810999999999999,-2038658.71033118
-0.8677499999999999,-2259979.476319848
-0.8543999999999999,-2351052.132883866
-0.84105,-4207283.555433187
-0.8277,-1294580.7033229773
-0.8143499999999999,-9260700.249741051
-0.8009999999999999,-10589662.542361757
-0.78765,-5210795.92295978
-0.7743,-10768512.01645842
-0.7609499999999999,-6659670.0603248635
-0.7475999999999999,2807466.3960213386
-0.73425,-1162335.6769295612
-0.7209,-10818915.909126725
-0.7075499999999999,-612810.2636294897
-0.6941999999999999,-1086665.7509416577
-0.68085,8245637.290654891
-0.6675,22779874.696090847
-0.6541499999999999,18430690.111778513
-0.6407999999999999,-4245547.64482148
-0.62745,-9187008.406285465
-0.6141,-2300672.4196890453
-0.60075,-2921377.9076320627
-0.5873999999999999,-5068481.5704380395
-0.57405,-3307972.7066855486
-0.5607,5941289.110594128
-0.54735,-2487601.5957144173
-0.5339999999999999,1498259.544657404
-0.52065,5159793.886569864
-0.5073,-7855000.183769468
-0.49394999999999994,-924390.4995990043
-0.48059999999999997,-4524077.343674896
-0.46724999999999994,-6151186.772555562
-0.45389999999999997,-1169484.9209011733
-0.44054999999999994,1883138.6163477253
-0.42719999999999997,14499208.963452207
-0.41385,5820392.841540574
-0.40049999999999997,3145845.42607535
-0.38715,221920.06765488395
