Y (mm),Density at X = -0.040 mm (atoms/mm³)
-1.9891499999999998,289747953.7163633
-1.9757999999999998,-1892131.3591099873
-1.9624499999999998,860047779.2387269
-1.9490999999999998,763178159.9405206
-1.9357499999999999,380934059.7497178
-1.9223999999999999,310796375.91705924
-1.90905,-368677365.155056
-1.8957,454364888.11666805
-1.88235,553056881.6027408
-1.8689999999999998,221586282.3444607
-1.8556499999999998,184395997.9831166
-1.8422999999999998,366068909.3990924
-1.8289499999999999,438828695.0261335
-1.8155999999999999,-5725371.669079962
-1.80225,-75127047.36840603
-1.7889,857532966.7515147
-1.77555,-284148496.4196361
-1.7621999999999998,590965149.5573407
-1.7488499999999998,640977092.8235201
-1.7354999999999998,672904943.9415321
-1.7221499999999998,-300587266.4909926
-1.7087999999999999,204918500.3626064
-1.69545,450997728.3677777
-1.6821,200081347.55230883
-1.66875,338189991.0120598
-1.6554,417669934.0149634
-1.6420499999999998,472384798.77783877
-1.6286999999999998,204137832.39415216
-1.6153499999999998,855840061.5843245
-1.6019999999999999,298518839.10211515
-1.58865,198865274.35152203
-1.5753,467254842.7254721
-1.56195,418218931.0928537
-1.5486,196713600.9518637
-1.5352499999999998,392963388.5768343
-1.5218999999999998,313700617.5592222
-1.5085499999999998,411908583.6617326
-1.4951999999999999,546299849.2535392
-1.48185,138983745.74296683
-1.4685,555397524.5660094
-1.45515,82417705.36712459
-1.4418,365396681.1441816
-1.42845,-133705230.55955675
-1.4150999999999998,403722631.8308543
-1.4017499999999998,628816834.6596929
-1.3883999999999999,542445858.2001544
-1.3750499999999999,226739632.1328583
-1.3617,81631948.92777285
-1.34835,72312339.35477789
-1.335,14207385.291253593
-1.32165,513597651.40676546
-1.3082999999999998,-48717214.31635771
-1.2949499999999998,-471251365.8924671
-1.2815999999999999,497703790.47220033
-1.2682499999999999,172096092.86357817
-1.2549,147797239.0090131
-1.24155,-106014968.5566932
-1.2282,167019029.73424765
-1.21485,339057706.320741
-1.2015,-367441350.64353436
-1.1881499999999998,123037987.27969979
-1.1747999999999998,197182021.46916842
-1.1614499999999999,-90179731.99924266
-1.1481,209831285.6601793
-1.13475,434169666.7817049
-1.1214,-204618540.3236278
-1.10805,253386978.35150722
-1.0947,342227151.42829454
-1.0813499999999998,-265734150.3427267
-1.0679999999999998,322107362.6455503
-1.0546499999999999,196183132.74433208
-1.0413,761904564.7454145
-1.02795,607004344.4647547
-1.0146,821762351.3111455
-1.00125,137152096.62919274
-0.9878999999999999,-364309460.27546895
-0.9745499999999999,-590565660.3475267
-0.9611999999999999,-733570487.7785524
-0.94785,-434267868.67064685
-0.9344999999999999,306746069.4940343
-0.9211499999999999,713869020.6746678
-0.9077999999999999,-360382623.74874127
