Y (mm),Density at X = 0.810 mm (atoms/mm³)
-2.7,-162190473.83715865
-2.695,-77243130.44371997
-2.69,75441311.16988535
-2.685,-20667658.847401097
-2.68,-145001633.62049028
-2.6750000000000003,-49115294.678218454
-2.67,-447649787.5502126
-2.665,-103106905.15559836
-2.66,-159712669.33982125
-2.6550000000000002,-5896559.935172081
-2.65,120837182.31347966
-2.645,333371378.77182823
-2.64,163663597.19604886
-2.6350000000000002,325833195.5668001
-2.63,412767947.5749042
-2.625,-132218915.08922133
-2.62,-188993029.49819985
-2.615,248249713.7550234
-2.61,-54533662.05913095
-2.605,42616225.296559386
-2.6,-65085500.64402765
-2.595,-76596963.48854622
-2.59,-43486800.774421975
-2.585,-311595319.8069317
-2.58,-129683432.4033301
-2.575,159353373.4108038
-2.57,32116750.210702244
-2.565,7495586.931467675
-2.56,280696929.4200139
-2.555,23225009.86213028
-2.5500000000000003,-151873887.1353619
-2.545,-38287920.464595996
-2.54,197284776.28895736
-2.535,-96139295.67931251
-2.5300000000000002,-25627474.29462632
-2.525,238250297.92021492
-2.52,488708554.40407586
-2.515,699804257.4791338
-2.5100000000000002,286089043.9212067
-2.505,-4086913.0270901145
-2.5,207417329.04059446
-2.495,-199254962.80707636
-2.49,-331851936.5428118
-2.485,-18567703.21708374
-2.48,-85376081.22154032
-2.475,-217625458.61555824
-2.47,-159566368.02037784
-2.465,-314145037.8159775
-2.46,-50899157.36037575
-2.455,208274236.73825347
-2.45,-16509973.216733895
-2.445,-134980212.37834644
-2.44,91883596.71710369
-2.435,-74600506.90406835
-2.43,71596760.45822506
-2.4250000000000003,-154811350.54759157
-2.42,-365907461.6391869
-2.415,-117972801.43993217
-2.41,-6266078.250584386
-2.4050000000000002,-246345004.1943781
-2.4,92849412.72817795
-2.395,250875605.3708832
-2.39,100073536.6109238
-2.3850000000000002,43814306.487943165
-2.38,437021734.08493936
-2.375,167311056.0210761
-2.37,61771097.342634834
-2.365,290080797.0399662
-2.36,167711025.22096384
-2.355,156974398.91009846
-2.35,448013760.3978015
-2.345,254931469.58308178
-2.34,271983315.97552377
-2.335,258644659.02596995
-2.33,335377681.01490915
-2.325,-63208415.73974201
