Y (mm),Density at X = 1.802 mm (atoms/mm³)
-1.9891499999999998,140496631.6514515
-1.9757999999999998,127528181.99037273
-1.9624499999999998,139534564.0674965
-1.9490999999999998,156499338.52137154
-1.9357499999999999,196619412.55115673
-1.9223999999999999,167585290.84167466
-1.90905,179134314.87961742
-1.8957,180288868.53641146
-1.88235,164203443.89799932
-1.8689999999999998,149924146.19570398
-1.8556499999999998,167803197.54996926
-1.8422999999999998,192326526.3287524
-1.8289499999999999,189053412.09886622
-1.8155999999999999,171617001.05279416
-1.80225,197056727.18323275
-1.7889,219044166.32171732
-1.77555,195167476.01767215
-1.7621999999999998,198916043.47620597
-1.7488499999999998,199727961.00165653
-1.7354999999999998,176617091.93132243
-1.7221499999999998,211653439.2506622
-1.7087999999999999,193702604.5569033
-1.69545,219354094.39803457
-1.6821,233280246.8463921
-1.66875,212770113.94980037
-1.6554,207395006.0121559
-1.6420499999999998,167274065.98107043
-1.6286999999999998,214772830.7352543
-1.6153499999999998,232858619.2445711
-1.6019999999999999,253583910.5384909
-1.58865,252324274.05898464
-1.5753,216324749.57690632
-1.56195,217808867.22204766
-1.5486,215761636.69325075
-1.5352499999999998,318103956.0294331
-1.5218999999999998,256460770.27209133
-1.5085499999999998,262794934.28077567
-1.4951999999999999,247683973.48883745
-1.48185,291364562.9668074
-1.4685,266300696.81497845
-1.45515,299848029.49461514
-1.4418,289974905.4289692
-1.42845,302593681.03297323
-1.4150999999999998,295388082.47963727
-1.4017499999999998,280172430.87550586
-1.3883999999999999,280283003.86889714
-1.3750499999999999,272491716.2154744
-1.3617,248639668.23101524
-1.34835,259446969.48468357
-1.335,272684924.0877697
-1.32165,265610595.82222754
-1.3082999999999998,262176710.49510345
-1.2949499999999998,266922978.69356018
-1.2815999999999999,294955344.3912091
-1.2682499999999999,344869031.3063658
-1.2549,304100300.128338
-1.24155,318268100.07853556
-1.2282,325183336.63493073
-1.21485,290672182.1565371
-1.2015,298287436.73436594
-1.1881499999999998,289536649.24274504
-1.1747999999999998,315997274.55794126
-1.1614499999999999,342280212.945442
-1.1481,351434099.77512014
-1.13475,345046657.0870967
-1.1214,314018175.56022227
-1.10805,349100758.89761895
