Y (mm),Density at X = 2.083 mm (atoms/mm³)
-1.9891499999999998,128663858.3735757
-1.9757999999999998,94386572.73202236
-1.9624499999999998,110523318.49219088
-1.9490999999999998,113356369.90997688
-1.9357499999999999,90329729.61017075
-1.9223999999999999,131328480.66714856
-1.90905,138496363.76961404
-1.8957,144201156.88824537
-1.88235,125941659.33864331
-1.8689999999999998,161042282.78226933
-1.8556499999999998,134361232.447256
-1.8422999999999998,149114906.61189088
-1.8289499999999999,127928414.59327061
-1.8155999999999999,121996467.1991571
-1.80225,144467168.50569332
-1.7889,120367629.0182414
-1.77555,142235172.08856195
-1.7621999999999998,144803189.17748588
-1.7488499999999998,101181587.22310317
-1.7354999999999998,180456346.5375738
-1.7221499999999998,155578583.30226743
-1.7087999999999999,172743665.79887292
-1.69545,174217279.64549664
-1.6821,127553875.28784731
-1.66875,149425447.14015847
-1.6554,172944095.4507471
-1.6420499999999998,195450854.74438903
-1.6286999999999998,147782600.64691976
-1.6153499999999998,194872866.97426718
-1.6019999999999999,181430965.91905388
-1.58865,146293992.89785692
-1.5753,149602804.1876762
-1.56195,170869490.18088648
-1.5486,213914377.78279853
-1.5352499999999998,184491010.77088985
-1.5218999999999998,131697163.82083789
-1.5085499999999998,176447421.92403892
-1.4951999999999999,172799727.2329377
-1.48185,194619117.0794158
-1.4685,220114791.27347404
-1.45515,221161084.06268215
-1.4418,190298841.17797205
-1.42845,237229390.12025067
-1.4150999999999998,206370258.87254038
-1.4017499999999998,252640312.3238483
-1.3883999999999999,202043726.6504943
-1.3750499999999999,219261388.77847028
-1.3617,239516880.8197328
-1.34835,263916576.02556077
-1.335,236042804.02281877
-1.32165,229516074.49870014
-1.3082999999999998,242388082.1608589
-1.2949499999999998,236299213.12377033
-1.2815999999999999,233302712.37723523
-1.2682499999999999,253136318.70110682
-1.2549,270393559.8643473
-1.24155,292702491.5495051
-1.2282,249732206.76779634
-1.21485,242609649.7547934
-1.2015,289547513.2862111
-1.1881499999999998,344157807.8160556
-1.1747999999999998,252065933.71977302
-1.1614499999999999,230122374.184899
-1.1481,265996396.66366673
-1.13475,245501742.47308943
-1.1214,251557582.37727937
-1.10805,269043261.85091686
-1.0947,240400539.0890637
-1.0813499999999998,256146273.82287377
-1.0679999999999998,257943501.68944204
-1.0546499999999999,266651748.15662488
-1.0413,259656704.37159798
-1.02795,260863505.72703233
-1.0146,258009227.1352538
-1.00125,277070303.5320804
-0.9878999999999999,250157707.36619762
-0.9745499999999999,248342440.90697756
-0.9611999999999999,372147277.2814735
-0.94785,275598574.8925962
-0.9344999999999999,301608190.6459839
-0.9211499999999999,324852477.7569591
-0.9077999999999999,321768024.3354768
-0.89445,374763225.8005447
-0.8810999999999999,311880838.0499997
-0.8677499999999999,358814165.6214827
-0.8543999999999999,370065183.42574924
-0.84105,363273425.7753981
-0.8277,308269159.3710732
-0.8143499999999999,357258562.3790695
-0.8009999999999999,327159842.97438395
-0.78765,314070717.257486
-0.7743,269224505.28479284
-0.7609499999999999,302974363.34170544
-0.7475999999999999,306372464.30184114
-0.73425,289962386.9812555
-0.7209,313076127.22339725
-0.7075499999999999,306366822.1223446
-0.6941999999999999,352453528.6884707
-0.68085,360566218.71541053
-0.6675,271084715.9692085
-0.6541499999999999,304895738.6632217
-0.6407999999999999,343543156.2720324
-0.62745,319624329.2414092
-0.6141,355090110.2934603
-0.60075,320401496.0096374
-0.5873999999999999,307513676.86261857
-0.57405,261225707.20561257
-0.5607,334192193.61938304
-0.54735,352158460.8181589
-0.5339999999999999,329821166.40433645
-0.52065,298369828.66739154
-0.5073,336777294.6021255
-0.49394999999999994,340127125.8720096
-0.48059999999999997,313421593.234186
-0.46724999999999994,344059232.8193624
-0.45389999999999997,303495822.3957512
-0.44054999999999994,310210966.7254921
-0.42719999999999997,347290880.86545604
-0.41385,299990228.125485
-0.40049999999999997,349386981.06354874
-0.38715,343030640.8160799
-0.37379999999999997,356481040.177047
-0.36045,295579496.17934185
-0.34709999999999996,322318301.22507316
-0.33375,311413055.36625195
-0.32039999999999996,293991690.9292516
-0.30705,333530884.15686756
-0.29369999999999996,310479658.50750464
-0.28035,303723294.4915651
-0.26699999999999996,332822175.0033737
-0.25365,368027805.18753314
-0.24029999999999999,390239353.65901476
-0.22694999999999999,319628188.00399846
-0.21359999999999998,342649638.2975072
-0.20024999999999998,267008180.73547825
-0.18689999999999998,269057842.5878638
-0.17354999999999998,322085452.4371691
-0.16019999999999998,374470817.71923107
-0.14684999999999998,357529962.4020777
-0.13349999999999998,373482061.08866185
-0.12014999999999999,324643983.7463901
-0.10679999999999999,302029514.8689409
-0.09344999999999999,331287746.2751863
-0.08009999999999999,296098326.9096975
-0.06674999999999999,281014041.3908607
-0.053399999999999996,301397198.9213146
-0.040049999999999995,315316011.3325116
-0.026699999999999998,342876276.1964526
-0.013349999999999999,337055431.146405
0.0,354556743.8987046
0.013349999999999999,336850875.7103091
0.026699999999999998,313791292.7167789
0.040049999999999995,291957946.9873363
0.053399999999999996,310414749.8097634
0.06674999999999999,369374274.8863768
0.08009999999999999,335750960.1443233
0.09344999999999999,299888939.494261
0.10679999999999999,345194987.2867032
0.12014999999999999,304391063.0396115
0.13349999999999998,315396169.2915288
0.14684999999999998,301787264.8383208
0.16019999999999998,291758996.4991102
0.17354999999999998,330877044.56096363
0.18689999999999998,322754547.07038134
0.20024999999999998,316240651.01652896
0.21359999999999998,318336526.07729673
0.22694999999999999,275202341.41218287
0.24029999999999999,321035485.4780789
0.25365,399217568.3902194
0.26699999999999996,275047247.930258
0.28035,285755597.1308355
0.29369999999999996,359457367.18541557
0.30705,356560736.7209944
0.32039999999999996,366531654.731711
0.33375,355762819.3001841
0.34709999999999996,302262183.2593115
0.36045,281352454.61751527
0.37379999999999997,302069391.56604254
0.38715,311408307.421973
0.40049999999999997,286792088.0281748
0.41385,332694869.1220318
0.42719999999999997,293641720.63552094
0.44054999999999994,302210447.8701157
0.45389999999999997,338222751.86317545
0.46724999999999994,323361138.113218
0.48059999999999997,321347148.1349016
0.49394999999999994,322577492.3263068
0.5073,329590744.1680827
0.52065,312508462.40362567
0.5339999999999999,249671620.11404988
0.54735,241480470.91507676
0.5607,317671137.86121285
0.57405,270325891.4398432
0.5873999999999999,249278403.741279
0.60075,290953839.429538
0.6141,281693833.2068216
0.62745,313818826.4092899
0.6407999999999999,280278646.92773783
0.6541499999999999,246048426.53181782
0.6675,262884874.61530355
0.68085,257192428.43056497
0.6941999999999999,273085137.19942594
0.7075499999999999,283693337.66358083
0.7209,274918529.57107496
0.73425,296028054.6769186
0.7475999999999999,280955179.05226713
0.7609499999999999,280852877.71152884
0.7743,308306089.6954625
0.78765,276816832.202388
0.8009999999999999,257599045.570987
0.8143499999999999,275879283.11554605
0.8277,266231624.15153453
0.84105,259570203.6796261
0.8543999999999999,227361494.68854418
0.8677499999999999,253909230.91663438
0.8810999999999999,249144046.0437528
0.89445,269034945.20625556
0.9077999999999999,257401318.50203517
