Y (mm),Density at X = 4.085 mm (atoms/mm³)
-1.9891499999999998,1194047.2698541146
-1.9757999999999998,-2181736.9169264683
-1.9624499999999998,8073328.636446185
-1.9490999999999998,10249406.769311177
-1.9357499999999999,-8134411.885241449
-1.9223999999999999,-2639480.2929457333
-1.90905,6451841.567329657
-1.8957,5304926.665811264
-1.88235,7227729.3629173795
-1.8689999999999998,5243779.051399453
-1.8556499999999998,8253951.824053124
-1.8422999999999998,17685749.46643514
-1.8289499999999999,32170186.499978386
-1.8155999999999999,27331996.587908663
-1.80225,7056406.272586935
-1.7889,6578174.414927994
-1.77555,-8229135.940905947
-1.7621999999999998,-994706.633531203
-1.7488499999999998,12042029.117135625
-1.7354999999999998,21568786.063479856
-1.7221499999999998,17799356.822915636
-1.7087999999999999,25475873.270545006
-1.69545,24839049.39825538
-1.6821,7415170.201532577
-1.66875,24559602.4402138
-1.6554,18424800.380481742
-1.6420499999999998,17808331.007925212
-1.6286999999999998,19036403.75995519
-1.6153499999999998,7311405.5036151735
-1.6019999999999999,9738793.573099138
-1.58865,8949310.369535398
-1.5753,9792798.28131507
-1.56195,20572398.12326031
-1.5486,30857464.10372186
-1.5352499999999998,31445890.765547045
-1.5218999999999998,20678590.843111217
-1.5085499999999998,17476331.614540204
-1.4951999999999999,11983193.593486438
-1.48185,7279188.259687886
-1.4685,-7093823.638019656
-1.45515,5775206.364656831
-1.4418,12554386.979609085
-1.42845,18474461.593600765
-1.4150999999999998,11614970.524569608
-1.4017499999999998,9676258.8177616
-1.3883999999999999,13962229.973943792
-1.3750499999999999,11165896.391506447
-1.3617,24276743.15270356
-1.34835,18201653.17799281
-1.335,18380280.90736519
-1.32165,25514984.431404553
-1.3082999999999998,24014234.675819986
-1.2949499999999998,20246555.401835125
-1.2815999999999999,9626684.856033342
-1.2682499999999999,10461552.042649021
-1.2549,10286031.015163323
-1.24155,4414064.061648896
-1.2282,-4133688.9355682954
-1.21485,1843211.5184203216
-1.2015,9811071.63211954
-1.1881499999999998,12956694.347177934
-1.1747999999999998,18886147.6693217
-1.1614499999999999,36224823.238492064
-1.1481,52592984.09703627
-1.13475,52710407.18336645
-1.1214,37897130.826565616
-1.10805,15928687.22173109
-1.0947,15627810.763520455
-1.0813499999999998,21867629.540261544
-1.0679999999999998,25508046.970403247
-1.0546499999999999,21471420.273337007
-1.0413,30634606.44909037
-1.02795,53850705.25200013
-1.0146,61814042.90109855
-1.00125,57378980.392747685
-0.9878999999999999,59213642.863336116
-0.9745499999999999,48676624.60998321
-0.9611999999999999,17159061.814249262
-0.94785,25415984.17017144
-0.9344999999999999,2087965.7551188353
-0.9211499999999999,9463855.611142447
-0.9077999999999999,23781524.353089985
-0.89445,4715863.26365958
-0.8810999999999999,28501427.993130658
-0.8677499999999999,16930570.016682625
-0.8543999999999999,20261761.40201244
-0.84105,29417628.60554003
-0.8277,36325220.78816928
-0.8143499999999999,19901910.649605565
-0.8009999999999999,18330315.4399904
-0.78765,29822083.27328921
-0.7743,26501109.389509782
-0.7609499999999999,16297649.856468303
-0.7475999999999999,18316001.98905159
-0.73425,27251722.008463286
