Y (mm),Density at X = -1.442 mm (atoms/mm³)
1.00125,287208270.9991737
1.0146,266213159.71516162
1.02795,256940876.54239354
1.0413,262934587.67184463
1.0546499999999999,357977827.4914236
1.0679999999999998,348863760.2158314
1.0813499999999998,303992725.23723924
1.0947,310380801.00007546
1.10805,257553371.63878152
1.1214,279598344.51097184
1.13475,405904918.96910256
1.1481,342652655.9326686
1.1614499999999999,234188719.4866376
1.1747999999999998,175522785.8400636
1.1881499999999998,287102931.5252126
1.2015,307069721.7753238
1.21485,342576054.5482504
1.2282,315892614.40544754
1.24155,328407124.13589704
1.2549,298216640.57557106
1.2682499999999999,304857991.2485551
1.2815999999999999,331512371.9884257
1.2949499999999998,364106068.3145051
1.3082999999999998,331002156.4784734
1.32165,230794898.80946228
1.335,233805175.3292664
1.34835,322953394.78169346
1.3617,380618146.41408485
1.3750499999999999,387176523.4176036
1.3883999999999999,284605342.86785954
1.4017499999999998,308133891.5108856
1.4150999999999998,376376258.96462727
1.42845,383337608.78530806
1.4418,237983154.34373292
1.45515,330230799.8896009
1.4685,427764097.6628447
1.48185,354943969.85457546
1.4951999999999999,314223830.5537058
1.5085499999999998,392077351.6203251
1.5218999999999998,366565999.9418043
1.5352499999999998,361471472.77089185
1.5486,363931695.8393827
1.56195,343310683.3792536
1.5753,399486676.6230341
1.58865,374716456.1261419
1.6019999999999999,373660464.898947
1.6153499999999998,369491048.3619138
1.6286999999999998,411461482.00415593
1.6420499999999998,379701507.3327658
1.6554,367572543.9970886
1.66875,365512733.97256655
1.6821,343288878.8317019
1.69545,358654774.8259016
1.7087999999999999,342066906.4700853
1.7221499999999998,350423089.27973133
1.7354999999999998,224660764.9495427
1.7488499999999998,301279715.95994437
1.7621999999999998,338903450.9365231
1.77555,373782138.7989984
1.7889,308464159.37943655
1.80225,347610667.38546574
1.8155999999999999,330283468.3508381
1.8289499999999999,343887195.4505322
1.8422999999999998,327306581.51154727
1.8556499999999998,303030974.17724496
1.8689999999999998,336771780.19075173
1.88235,288285558.1917099
1.8957,328795268.6598221
1.90905,325614841.1926225
1.9223999999999999,250211921.2645372
1.9357499999999999,295696404.2002409
1.9490999999999998,325620778.0204113
1.9624499999999998,231694126.07749552
1.9757999999999998,206681666.4137147
1.9891499999999998,267615567.71306127
