Y (mm),Density at X = 0.360 mm (atoms/mm³)
-7.209,-22343501.362286564
-7.19565,8385133.030802056
-7.1823,11336390.204557532
-7.16895,-6823767.909658621
-7.1556,-21888939.865779553
-7.14225,-10978295.534007598
-7.1289,-28071166.00402816
-7.11555,-34278892.778355755
-7.1022,15352493.044913776
-7.08885,-26788175.76984719
-7.0755,-8457392.24074214
-7.062149999999999,22209030.590725843
-7.048799999999999,-9519033.864247663
-7.035449999999999,5894725.632585054
-7.022099999999999,-8468771.701246435
-7.008749999999999,1171315.4631648965
-6.995399999999999,9800786.008253807
-6.982049999999999,13029172.900735568
-6.968699999999999,14299612.50289689
-6.955349999999999,-7964517.259790488
-6.941999999999999,-7086167.391474268
-6.928649999999999,34771665.57025643
-6.915299999999999,-3085431.758841387
-6.901949999999999,21860498.570768602
-6.888599999999999,67268816.19805798
-6.875249999999999,15748313.769540709
-6.8618999999999994,-18258771.36565706
-6.8485499999999995,-9424029.425166942
-6.8351999999999995,46525326.73080128
-6.8218499999999995,-5645636.519222421
-6.8084999999999996,4788678.600360764
-6.79515,8575048.746239703
-6.7818,18461797.363167956
-6.76845,10011564.915980423
-6.7551,2484979.4716521204
-6.74175,28162713.667154185
-6.7284,15226852.920242338
-6.71505,-18447079.17883574
-6.7017,581651.6552716161
-6.68835,2745689.2757562785
-6.675,1864867.9236482023
-6.66165,10047987.154460493
-6.6483,6526902.212783486
-6.63495,6200370.991333648
-6.6216,-3200568.9705244885
-6.60825,-27244286.540162742
-6.594899999999999,-55834024.47434423
-6.581549999999999,1336253.6603677054
-6.568199999999999,-4116044.139427809
-6.554849999999999,-7666970.519790543
-6.541499999999999,63885067.932195134
-6.528149999999999,40432706.83061372
-6.514799999999999,39571971.84861002
-6.501449999999999,42552820.37214738
-6.488099999999999,-30963811.75566666
-6.474749999999999,-29194873.836836588
-6.461399999999999,-15406684.226531245
-6.448049999999999,-6199946.0851641
-6.434699999999999,18866414.940030817
-6.4213499999999994,-8513142.660896976
-6.4079999999999995,-9643038.358547296
-6.3946499999999995,18483050.28063994
-6.3812999999999995,-2723728.1004221304
-6.3679499999999996,364801.58963652095
-6.3546,11663280.921109378
-6.34125,-61847242.66887824
-6.3279,-20179330.702859502
-6.31455,-17794364.761832688
-6.3012,-5664122.336658958
-6.28785,26333520.147427935
-6.2745,-163088.893685538
-6.26115,-7372890.044758529
-6.2478,5523815.902892143
-6.23445,2545160.019576403
-6.2211,-24305134.956087954
-6.20775,5273601.948105922
-6.1944,53589959.72616984
-6.18105,4077597.87957449
-6.1677,-81165806.99983284
-6.15435,-26422550.904932134
-6.140999999999999,4176950.786627243
-6.127649999999999,-9174540.40168522
-6.114299999999999,-15151932.067762682
-6.100949999999999,-21454845.72088053
-6.087599999999999,32346501.897319388
-6.074249999999999,-9361600.62773849
-6.060899999999999,-8645022.593170412
-6.047549999999999,31390047.104363956
-6.034199999999999,28915270.95443539
-6.020849999999999,-26378499.864798762
-6.007499999999999,-46811641.79559659
-5.994149999999999,-6441735.535900626
-5.9807999999999995,-11963023.367751624
-5.9674499999999995,20467405.532434408
-5.9540999999999995,-4537488.671248241
-5.9407499999999995,2825362.7872825586
-5.9274,-15609069.735836154
-5.91405,-7188546.65476735
-5.9007,-37011014.85227595
-5.88735,15790692.85815344
-5.874,-49456904.877649985
-5.86065,-10733432.401697079
