Y Position (mm),Normalized Experimental Density,Experimental Error,Abel Y Position (mm),Inverse Abel Density
-0.54,0.6413754363439392,0.01785,-2.7,0.08778025401604925
-0.44000000000000006,0.539501665128596,0.01716,-2.695,0.0983924744661623
-0.44000000000000006,0.5730449785338844,0.02021,-2.69,0.11746689032165741
-0.35000000000000003,0.7672029851943989,0.01808,-2.685,0.1054602808585117
-0.32000000000000006,0.9136941780684508,0.01449,-2.68,0.0899276050028388
-0.30000000000000004,0.9005737672029851,0.02268,-2.6750000000000003,0.10190640182402635
-0.28,0.8896601532720781,0.02421,-2.67,0.052118665958724573
-0.26,0.8654255105725635,0.01849,-2.665,0.09516138956167884
-0.24000000000000005,0.9851943987481444,0.02081,-2.66,0.08808979880588731
-0.22000000000000003,0.8721261485374957,0.02266,-2.6550000000000002,0.10730559057256576
-0.2,0.9153392448742126,0.02477,-2.65,0.12313806228367499
-0.18000000000000005,0.9593146892428679,0.0218,-2.645,0.14968933105681761
-0.16000000000000003,0.8176383260442163,0.02704,-2.64,0.12848823967199965
-0.14,0.9064318099747222,0.02515,-2.6350000000000002,0.14874760811682422
-0.12000000000000005,0.8974040043333468,0.02626,-2.63,0.15960810964908487
-0.10000000000000003,1.0,0.02057,-2.625,0.09152451223485532
-0.08000000000000002,0.9050274846527305,0.02477,-2.62,0.0844318899832387
-0.06000000000000005,0.906552180716607,0.02182,-2.615,0.13905533312170643
-0.040000000000000036,0.8907033663684145,0.02324,-2.61,0.10122950120737462
-0.020000000000000018,0.7538819564257917,0.0231,-2.605,0.11336614939597317
0.0,0.9337158448019902,0.02554,-2.6,0.09991129121111496
0.020000000000000018,0.8009469165028286,0.02351,-2.595,0.09847319819337907
0.039999999999999925,0.9483208281507042,0.02197,-2.59,0.10260955292591024
0.05999999999999994,0.871123059021787,0.02404,-2.585,0.0691155483477036
0.07999999999999996,0.9691449664968103,0.02008,-2.58,0.0918412625902549
0.09999999999999998,0.819885246559403,0.02004,-2.575,0.12794977615835582
0.12,0.9568671508245394,0.02063,-2.57,0.11205448101682769
0.14,0.8312803434578501,0.02324,-2.565,0.10897863188465051
0.15999999999999992,0.8970428921076916,0.02294,-2.56,0.14310886783949534
0.17999999999999994,0.8677125546683788,0.02339,-2.555,0.11094366218489352
0.19999999999999996,0.747823295750913,0.02168,-2.5500000000000003,0.08906907469011198
0.21999999999999997,0.9254503871925529,0.02047,-2.545,0.10325903367171878
0.24,0.8689965092484855,0.02114,-2.54,0.13268843416983298
0.26,0.8923083095935482,0.02399,-2.535,0.0960318324127304
0.2799999999999999,0.7947277615054368,0.02159,-2.5300000000000002,0.10484066577915542
0.29999999999999993,0.7347831320467041,0.01928,-2.525,0.13780613566629152
0.31999999999999995,0.6596717891104602,0.02537,-2.52,0.16909514513004115
0.33999999999999997,0.8918268266260082,0.02132,-2.515,0.19546670717793863
0.36,0.8385025879709505,0.02082,-2.5100000000000002,0.1437824887615044
0.38,0.5798659872407015,0.02074,-2.505,0.10753166441028998
0.3999999999999999,0.8496970669662564,0.0217,-2.5,0.13395426402662727
0.41999999999999993,0.6995947518356539,0.01634,-2.495,0.08314989699596223
0.43999999999999995,0.5439955061589695,0.01887,-2.49,0.0665849491107272
0.45999999999999996,0.6214340167716565,0.01926,-2.485,0.1057226221065619
0.5,0.580307346627613,0.01489,-2.48,0.09737644897182277
0.52,0.43397664807607444,0.01773,-2.475,0.08085492526983587
0.54,0.539381294386711,0.01828,-2.47,0.08810807579716279
0.56,0.45255386590699354,0.02001,-2.465,0.06879701961547127
0.5800000000000001,0.4117883079886049,0.01658,-2.46,0.10168354913341184
0.6199999999999999,0.46186253661276727,0.0151,-2.455,0.13406131497171495
0.6399999999999999,0.38530674477390364,0.01645,-2.45,0.1059796882315069
0.6599999999999999,0.39100429322312735,0.01775,-2.445,0.09117955152872971
0.6799999999999999,0.40889941018336473,0.01569,-2.44,0.11952097644089756
0.72,0.3519239256911287,0.01632,-2.435,0.09872260961164356
0.74,0.3875536652890904,0.01647,-2.43,0.11698660196826166
0.76,0.25510572563495576,0.015,-2.4250000000000003,0.08870210607108947
0.8,0.2779761665931068,0.01778,-2.42,0.06233049305089231
0.8399999999999999,0.2602415439553827,0.01412,-2.415,0.09330423709221086
0.9099999999999999,0.18252216827829726,0.01644,-2.41,0.10725942774195965
0.96,0.33286522489266956,0.01705,-2.4050000000000002,0.07726707735447604
1.01,0.25297917586165386,0.01679,-2.4,0.11964163297957586
1.06,0.22878465674276777,0.01618,-2.395,0.1393833779974189
1.1099999999999999,0.24058098944749834,0.01435,-2.39,0.12054412141700176
1.16,0.2171488183605505,0.01749,-2.3850000000000002,0.11351582213689941
1.24,0.15010231513060224,0.01391,-2.38,0.1626380634876925
1.33,0.0,0.0175,-2.375,0.12894390591873114
1.42,0.2305902178710429,0.01973,-2.37,0.11575911092633176
1.5899999999999999,0.1651085342855997,0.02332,-2.365,0.14428116667639226
1.6800000000000002,0.14364241864944027,0.01256,-2.36,0.128993872888302
1.77,0.18701600930867085,0.01609,-2.355,0.12765257790779072
1.94,0.03153713437387166,0.01472,-2.35,0.16401126483532338
,,,-2.345,0.1398900651216557
,,,-2.34,0.1420203018750282
,,,-2.335,0.14035394290013375
,,,-2.33,0.14993997246410118
,,,-2.325,0.10014578987831396
,,,-2.32,0.11614878411842382
,,,-2.315,0.13705997398602146
,,,-2.31,0.10264865256335344
,,,-2.305,0.13682519752394634
,,,-2.3000000000000003,0.12547166436657553
,,,-2.295,0.13119721699255013
,,,-2.29,0.21759277863698853
,,,-2.285,0.2823363321451645
,,,-2.2800000000000002,0.27368068768065856
,,,-2.275,0.27151966773413105
,,,-2.27,0.2914162383689995
,,,-2.265,0.21731353001441034
,,,-2.2600000000000002,0.19078673630101292
,,,-2.255,0.1844831727216681
,,,-2.25,0.16661999809379652
,,,-2.245,0.12487333177983853
,,,-2.24,0.07783391828188116
,,,-2.235,0.042146147860206463
,,,-2.23,0.08742682431871274
,,,-2.225,0.07469073749409282
,,,-2.22,0.08574727547309212
,,,-2.215,0.12060399194877666
,,,-2.21,0.1097040951129687
,,,-2.205,0.10350055248897208
,,,-2.2,0.13482980378411707
,,,-2.195,0.10950393421410216
,,,-2.19,0.05112460059066622
,,,-2.185,0.06596237832343967
,,,-2.18,0.1119077581096155
,,,-2.1750000000000003,0.09279746730663024
,,,-2.17,0.10402116162261946
,,,-2.165,0.11248082383020803
,,,-2.16,0.13637108332052025
,,,-2.1550000000000002,0.19321773229342215
,,,-2.15,0.11969042148084186
,,,-2.145,0.1159046004897869
,,,-2.14,0.14939204876018553
,,,-2.1350000000000002,0.1754112039457868
,,,-2.13,0.1473900451463876
,,,-2.125,0.13677442671168258
,,,-2.12,0.10554849216275176
,,,-2.115,0.08843069412172412
,,,-2.11,0.07966984413878464
,,,-2.105,0.09298366548493953
,,,-2.1,0.09674313326420253
,,,-2.095,0.12585949329182908
,,,-2.09,0.15078065462254872
,,,-2.085,0.15204617650481564
,,,-2.08,0.12532752979720088
,,,-2.075,0.1644134483044347
,,,-2.07,0.1546427414805243
,,,-2.065,0.09868500261910874
,,,-2.06,0.04347777857237743
,,,-2.055,0.07216995750852237
,,,-2.05,0.12551072705475264
,,,-2.045,0.09947814179155885
,,,-2.04,0.1009385000747572
,,,-2.035,0.08341586356162871
,,,-2.0300000000000002,0.13402959399410727
,,,-2.025,0.13468985428975871
,,,-2.02,0.15876981783430366
,,,-2.015,0.15655139200580717
,,,-2.0100000000000002,0.14716336625757195
,,,-2.005,0.15019374531733054
,,,-2.0,0.14621298183937562
,,,-1.995,0.08253449799444816
,,,-1.99,0.08894978084711139
,,,-1.985,0.09615835888751273
,,,-1.98,0.07085121681926806
,,,-1.975,0.13178999807618147
,,,-1.97,0.09455820330766744
,,,-1.965,0.10353165293791051
,,,-1.96,0.10123949308228851
,,,-1.955,0.0834730111052803
,,,-1.95,0.13374552803644238
,,,-1.945,0.11224544589869805
,,,-1.94,0.10015901825225954
,,,-1.935,0.1702232812497584
,,,-1.93,0.1723221978655382
,,,-1.925,0.18119277505017342
,,,-1.92,0.20318684369142884
,,,-1.915,0.16491283457955702
,,,-1.9100000000000001,0.18057344134991066
,,,-1.905,0.10063315061701153
,,,-1.9000000000000001,0.08501237571352768
,,,-1.895,0.10123695839546354
,,,-1.8900000000000001,0.10970654501806484
,,,-1.885,0.08265585028303882
,,,-1.8800000000000001,0.08146173833137925
,,,-1.875,0.09207434200372289
,,,-1.87,0.12433929618638413
