Y (mm),Density at X = -0.120 mm (atoms/mm³)
-1.9891499999999998,242143780.31472975
-1.9757999999999998,284221675.4842168
-1.9624499999999998,233735613.1020879
-1.9490999999999998,310976531.9005438
-1.9357499999999999,344902984.3646113
-1.9223999999999999,302607851.0525724
-1.90905,262214095.17943972
-1.8957,337114171.10133815
-1.88235,315917801.1964664
-1.8689999999999998,360763877.2412254
-1.8556499999999998,169419194.33150744
-1.8422999999999998,360425604.2163976
-1.8289499999999999,316309987.78663087
-1.8155999999999999,190137742.69198307
-1.80225,435382856.5575891
-1.7889,88399999.38260198
-1.77555,538767777.8233603
-1.7621999999999998,265396416.82315475
-1.7488499999999998,352317708.9955408
-1.7354999999999998,505195939.2246201
-1.7221499999999998,81508034.86021505
-1.7087999999999999,270854212.59901065
-1.69545,603758547.8497901
-1.6821,237107764.9361628
-1.66875,-85738903.23585613
-1.6554,471029153.0552851
-1.6420499999999998,256944193.3736562
-1.6286999999999998,40899852.03068319
-1.6153499999999998,230034572.99659353
-1.6019999999999999,465590331.79135334
-1.58865,416476515.8765377
-1.5753,662292516.7546123
-1.56195,553550751.394962
-1.5486,120199233.83070956
-1.5352499999999998,7823583.441679463
-1.5218999999999998,185317632.49452856
-1.5085499999999998,302088089.8896644
-1.4951999999999999,114189325.97767921
-1.48185,290153434.95780164
-1.4685,142315466.11196715
-1.45515,124933118.46958432
-1.4418,462369200.48722655
-1.42845,34465397.93074338
-1.4150999999999998,201007124.57237914
-1.4017499999999998,-153322861.08083925
-1.3883999999999999,187783910.4642948
-1.3750499999999999,223552324.74075806
-1.3617,263543615.3443041
-1.34835,326213538.6222268
-1.335,191666014.73950922
-1.32165,316866971.7860202
-1.3082999999999998,106588163.27774754
-1.2949499999999998,147833225.63818294
-1.2815999999999999,232474466.5899678
-1.2682499999999999,204605721.2236965
-1.2549,523120752.0854005
-1.24155,481909478.2817698
-1.2282,65850546.274361774
-1.21485,-31829357.038062684
-1.2015,288557320.4667294
-1.1881499999999998,180393536.61771193
-1.1747999999999998,290928740.03260124
-1.1614499999999999,116653944.49144275
-1.1481,189408014.01165843
-1.13475,308048517.1756315
-1.1214,272350082.08700484
-1.10805,-116593604.29536848
-1.0947,-397941157.23837143
-1.0813499999999998,141456071.25529796
-1.0679999999999998,-147466272.7443376
-1.0546499999999999,79298048.62303765
-1.0413,109743110.1009078
-1.02795,264368443.07660538
-1.0146,351208650.8175305
-1.00125,128739746.18243676
-0.9878999999999999,-117865322.93535326
-0.9745499999999999,-78259572.17573275
-0.9611999999999999,51441027.101376124
-0.94785,-181857185.74360913
-0.9344999999999999,-205176057.70809093
-0.9211499999999999,514748872.99319345
-0.9077999999999999,185902270.65293553
-0.89445,-305142979.0691101
-0.8810999999999999,97978436.69034173
-0.8677499999999999,72753767.85512288
-0.8543999999999999,77665432.85863845
-0.84105,-610092353.3833693
-0.8277,32507455.546809766
-0.8143499999999999,-427140003.0269188
-0.8009999999999999,-84797231.68953975
-0.78765,54889280.20706339
-0.7743,-525669861.757022
-0.7609499999999999,611046999.8730338
-0.7475999999999999,1286682592.3157244
-0.73425,-405808598.49514985
-0.7209,37241090.69150073
-0.7075499999999999,117231431.21440135
-0.6941999999999999,-301328995.6292485
-0.68085,-185471321.02550992
-0.6675,-485321720.50922954
-0.6541499999999999,496170801.2862993
-0.6407999999999999,151953653.78997672
-0.62745,-197418259.2913751
-0.6141,-381287220.25585306
-0.60075,-54504348.906088516
-0.5873999999999999,283171338.3671012
-0.57405,-71386297.38421528
-0.5607,-128235424.45678769
-0.54735,229797315.26006305
-0.5339999999999999,-56620705.428174354
-0.52065,-652737837.6468269
-0.5073,-357572108.64602363
-0.49394999999999994,79997636.15666234
-0.48059999999999997,-680827526.4828095
-0.46724999999999994,213166032.88736102
-0.45389999999999997,81937062.43076196
-0.44054999999999994,-191400382.19141358
-0.42719999999999997,-136785465.66743195
-0.41385,359612119.22645825
-0.40049999999999997,-261413644.62122512
-0.38715,-516826117.7607342
-0.37379999999999997,-471511848.54339546
-0.36045,172557895.0975091
-0.34709999999999996,1174272970.0973363
-0.33375,-349905686.0136213
-0.32039999999999996,-118786047.1096565
-0.30705,-223561588.05064568
-0.29369999999999996,-282404833.1452095
-0.28035,-153826721.66761896
-0.26699999999999996,-258179208.12552595
-0.25365,-67915557.49629502
-0.24029999999999999,-640306424.3384855
-0.22694999999999999,-129525565.98469438
-0.21359999999999998,-143593921.555844
-0.20024999999999998,-405949005.01404226
-0.18689999999999998,131610843.72011204
-0.17354999999999998,-6078664.030375598
-0.16019999999999998,-120162277.47511163
-0.14684999999999998,314688254.16298324
-0.13349999999999998,-200830178.88559756
-0.12014999999999999,-51255850.343722336
-0.10679999999999999,-419900169.7281137
-0.09344999999999999,-663379160.9288979
-0.08009999999999999,-83114948.61841531
-0.06674999999999999,-527520319.0646004
-0.053399999999999996,-115641078.60365054
-0.040049999999999995,546557421.7861544
-0.026699999999999998,-137611145.89449263
-0.013349999999999999,-407765305.027603
0.0,-166810344.769106
0.013349999999999999,-238703597.4842657
0.026699999999999998,74010090.49888286
0.040049999999999995,-266095587.3768856
0.053399999999999996,-208771799.36980835
0.06674999999999999,-618704058.5326638
0.08009999999999999,-53572851.51298388
0.09344999999999999,95099408.40053432
0.10679999999999999,-489834853.2695071
0.12014999999999999,-562423692.6016581
0.13349999999999998,-260694749.59264192
0.14684999999999998,-101306104.89084403
0.16019999999999998,16391602.946150694
0.17354999999999998,-36600791.0738649
0.18689999999999998,-407085171.48644507
0.20024999999999998,-459715992.5942171
0.21359999999999998,-527709302.6057888
0.22694999999999999,-203064633.56226677
0.24029999999999999,-735012591.7440124
0.25365,155568282.36392298
0.26699999999999996,1717890001.638225
0.28035,109694070.8122065
0.29369999999999996,-159960659.39345485
0.30705,-397966342.3856483
0.32039999999999996,-223740838.75880134
0.33375,-313435653.17109805
0.34709999999999996,-92357254.84830342
0.36045,-188701893.22042072
0.37379999999999997,425001391.61338013
0.38715,117877862.58910424
0.40049999999999997,-469067300.5059299
0.41385,-337386473.08943385
0.42719999999999997,76185908.80272256
0.44054999999999994,191109964.38004613
0.45389999999999997,-56509327.64413046
0.46724999999999994,97808536.94325231
0.48059999999999997,-13933173.087429585
0.49394999999999994,-63490725.362533495
0.5073,197729053.87980822
0.52065,-134144584.91398731
0.5339999999999999,-81228935.90666038
0.54735,-98165598.45217504
0.5607,-34921518.02554348
0.57405,-388595810.1739381
0.5873999999999999,-428238754.56330794
0.60075,124000164.62727022
0.6141,-295940952.3805643
0.62745,-194367148.30237877
0.6407999999999999,99136320.37257479
0.6541499999999999,-379095862.1079422
0.6675,-18687283.5492022
0.68085,202828814.83288136
0.6941999999999999,-510444931.20941246
0.7075499999999999,-421872915.92769605
0.7209,-136816028.98315844
0.73425,154470944.76698261
0.7475999999999999,53108843.6242964
0.7609499999999999,94012124.03750233
0.7743,170952611.5621087
0.78765,84650900.51033892
0.8009999999999999,-63993762.36269078
0.8143499999999999,-223859340.28232184
0.8277,527800698.50983626
0.84105,1402916716.8753333
0.8543999999999999,-86534292.79611164
0.8677499999999999,-269595390.30815285
0.8810999999999999,-53855372.12400999
0.89445,-394328781.62479395
0.9077999999999999,-44874625.88217807
0.9211499999999999,194698365.3273248
0.9344999999999999,-17593192.25544122
0.94785,184081957.06264874
0.9611999999999999,203513784.25696945
0.9745499999999999,-392200468.78418624
0.9878999999999999,-635803562.8325154
1.00125,122841236.52553424
1.0146,148217627.85983855
1.02795,216158281.44564596
1.0413,-344281233.07487744
1.0546499999999999,266633411.97658262
1.0679999999999998,64836045.48586866
1.0813499999999998,-114072428.53636575
1.0947,-343621951.3464058
1.10805,-138591953.53606173
1.1214,-60277628.41745884
1.13475,208757252.90600374
1.1481,441060987.18906474
1.1614499999999999,83071205.76098005
1.1747999999999998,-32355180.18284759
1.1881499999999998,148442022.1040744
1.2015,472851267.17423296
1.21485,88975332.28980008
1.2282,287685915.2305842
1.24155,417853655.1307599
1.2549,207717898.02973184
1.2682499999999999,73670306.61679907
1.2815999999999999,210439032.3046441
1.2949499999999998,-15116359.78648228
1.3082999999999998,294547492.6203902
1.32165,364024492.2622914
1.335,323152976.85307014
1.34835,198478713.07804745
1.3617,96846884.034861
1.3750499999999999,120664050.76312633
1.3883999999999999,304187397.5306928
1.4017499999999998,125392978.88161369
1.4150999999999998,161531712.66328335
1.42845,429134421.99574614
1.4418,165266456.2517605
1.45515,140435242.99895066
1.4685,218939415.64827147
1.48185,291161450.1111786
1.4951999999999999,239792967.39935362
1.5085499999999998,-257000909.97255358
1.5218999999999998,157645692.76915085
1.5352499999999998,309735024.522172
1.5486,73670495.86601399
1.56195,319529843.72085303
1.5753,-17313207.602786586
1.58865,274522519.8703108
1.6019999999999999,197881769.70841622
1.6153499999999998,314111085.89508146
1.6286999999999998,208830173.93615437
1.6420499999999998,529125130.8717081
1.6554,168402309.2064423
1.66875,30850423.78127995
1.6821,230419095.0656962
1.69545,188128214.55226707
1.7087999999999999,306539964.8883693
1.7221499999999998,220666064.62461683
1.7354999999999998,541574222.8466297
1.7488499999999998,262564548.1420613
1.7621999999999998,220805511.83683565
1.77555,36157919.19121616
1.7889,100451600.69877456
1.80225,130946894.45730251
1.8155999999999999,206585736.91619247
1.8289499999999999,523804322.73446244
1.8422999999999998,189778231.14963472
1.8556499999999998,83031606.23246351
1.8689999999999998,173636609.48730886
1.88235,5813430.912428657
1.8957,94520118.39814743
1.90905,420560765.1541754
1.9223999999999999,282145300.2145134
1.9357499999999999,73141389.90396309
1.9490999999999998,-86979984.1910638
1.9624499999999998,346916687.36825854
1.9757999999999998,125391712.42682482
1.9891499999999998,103169745.61775598
2.0025,156379963.92824742
2.01585,210745601.62902653
2.0292,128631773.18810126
2.04255,-236564294.74072656
2.0559,194762437.59996
2.06925,261838331.78764907
2.0826,257231230.9476836
2.0959499999999998,122886289.83423077
2.1092999999999997,112924889.57835591
2.1226499999999997,168530462.0221186
2.1359999999999997,198354093.85817534
2.1493499999999996,158122491.97773272
2.1626999999999996,154576042.53344935
2.17605,82103641.41581964
2.1894,82453218.23380345
2.20275,-5149285.722199432
2.2161,114680924.22235096
2.22945,-53877251.59535122
2.2428,-18987182.93760931
2.25615,99913434.86183302
2.2695,276984002.2766063
2.28285,48049452.691701174
2.2962,103038178.78576982
2.3095499999999998,12486528.656628612
2.3228999999999997,-80420364.73148952
2.3362499999999997,30304253.93720242
2.3495999999999997,222507141.81859767
2.3629499999999997,100180438.945241
2.3762999999999996,163987227.30290443
2.3896499999999996,158198833.6455269
2.403,20174282.98487096
2.41635,-79076180.01222716
2.4297,-17366291.82358992
2.44305,-40030610.26652036
2.4564,12051629.337182822
2.46975,63841030.58150152
2.4831,77475431.68342005
2.49645,-71888601.03593457
2.5098,9828226.888702387
2.52315,102162643.72395271
2.5364999999999998,-65601589.127432816
2.5498499999999997,126027592.28182462
2.5631999999999997,-18072997.208441164
2.5765499999999997,29003499.2819966
2.5898999999999996,197909111.09939736
2.6032499999999996,-174338384.96895176
2.6165999999999996,89384141.84827839
2.62995,126660373.35727432
2.6433,113075423.97303642
2.65665,26158978.27553064
2.67,92514342.48111254
2.68335,-163593332.2084511
2.6967,-11337740.120002754
2.71005,-63595983.54888005
2.7234,90922846.2657727
2.73675,44919783.67484805
2.7500999999999998,153761683.18942624
2.7634499999999997,68942265.8051727
2.7767999999999997,-118706738.07435256
2.7901499999999997,16913777.701076295
2.8034999999999997,-23885448.13193655
2.8168499999999996,157999364.71387106
2.8301999999999996,11593551.140774038
2.8435499999999996,-24416908.547486264
2.8569,-65470823.8759258
2.87025,-21625755.617689542
2.8836,-9030237.78351848
2.89695,93006011.0338231
2.9103,74313343.36061764
2.92365,-44426724.65360611
2.937,-69558855.9348954
2.95035,-132141182.78842641
2.9637,7285977.355532133
2.9770499999999998,77250830.56504637
2.9903999999999997,-85834827.9930155
