Y (mm),Density at X = -0.200 mm (atoms/mm³)
-0.94785,-30680856.227976084
-0.9344999999999999,-634857881.7447221
-0.9211499999999999,290060501.123782
-0.9077999999999999,27203060.6072245
-0.89445,-363426230.42235
-0.8810999999999999,-24292998.69991927
-0.8677499999999999,50607769.0028875
-0.8543999999999999,-345340148.6045694
-0.84105,-97030220.78166232
-0.8277,302737436.5119949
-0.8143499999999999,-312072345.50184274
-0.8009999999999999,-29713437.591996748
-0.78765,969510885.556927
-0.7743,-154594784.96383464
-0.7609499999999999,-189661819.63592374
-0.7475999999999999,373643169.97697884
-0.73425,893797098.7002465
-0.7209,-40243792.49119024
-0.7075499999999999,-43756913.46541798
-0.6941999999999999,-174778329.3941339
-0.68085,-489741888.73089296
-0.6675,-10135475.594112355
-0.6541499999999999,-150269374.27080446
-0.6407999999999999,180487801.1154951
-0.62745,10785282.874635821
-0.6141,-57152569.688314766
-0.60075,-47608336.2603581
-0.5873999999999999,-530763925.7200638
-0.57405,-120000181.72206451
-0.5607,606323738.0669191
-0.54735,1039200833.7839037
-0.5339999999999999,65838643.9065395
-0.52065,-9083348.202034801
-0.5073,-276087524.1455975
-0.49394999999999994,94353345.57696025
-0.48059999999999997,267833909.86421824
-0.46724999999999994,-235467808.02303818
-0.45389999999999997,-571426449.9933181
-0.44054999999999994,93702618.6276654
-0.42719999999999997,66186241.73402882
-0.41385,98846324.1683536
-0.40049999999999997,-286030704.21900225
-0.38715,-223945401.73400536
-0.37379999999999997,-455854671.2486234
-0.36045,-118379662.1748694
-0.34709999999999996,-200827229.5817532
-0.33375,144609947.00279614
-0.32039999999999996,-120820060.04248166
-0.30705,-86909302.95226678
-0.29369999999999996,-353000372.77446455
-0.28035,-571552265.2060184
-0.26699999999999996,25911349.110065248
-0.25365,-46730866.327990614
-0.24029999999999999,-566457560.5101063
-0.22694999999999999,148871479.90610665
-0.21359999999999998,1097819803.9547489
-0.20024999999999998,-360345653.8475637
-0.18689999999999998,-139404658.27699807
-0.17354999999999998,-167798470.44345802
-0.16019999999999998,-266082748.59842962
-0.14684999999999998,-289642251.0201931
-0.13349999999999998,-461974751.880679
-0.12014999999999999,194586536.4670206
-0.10679999999999999,959727127.1728188
-0.09344999999999999,-570377774.3552153
-0.08009999999999999,-84735613.04443559
-0.06674999999999999,1089179768.0734863
-0.053399999999999996,-465067405.75355905
-0.040049999999999995,-488013720.4276885
-0.026699999999999998,112317311.64924546
-0.013349999999999999,-136778124.98108315
0.0,-88956176.62377778
0.013349999999999999,-212438971.88951486
0.026699999999999998,97183727.62308323
0.040049999999999995,757838691.0941583
0.053399999999999996,-955715121.4837927
0.06674999999999999,167984211.90437284
0.08009999999999999,621015789.4351009
0.09344999999999999,435434047.0861597
0.10679999999999999,884075399.8836393
0.12014999999999999,-276245601.3368408
0.13349999999999998,-73625236.0246859
0.14684999999999998,-343709042.777403
0.16019999999999998,-246227229.77647623
0.17354999999999998,-105469732.00379258
0.18689999999999998,-34229712.39257245
0.20024999999999998,204454823.87956518
0.21359999999999998,754816816.5567682
0.22694999999999999,-706519742.821749
0.24029999999999999,184314628.09971383
0.25365,820500608.1620419
0.26699999999999996,-210992600.60495436
0.28035,-11528679.081745034
0.29369999999999996,-395832676.6384493
0.30705,193602227.56553465
0.32039999999999996,1210426872.5364914
0.33375,-226019232.3975882
0.34709999999999996,1121542157.2145097
0.36045,501275444.9974444
0.37379999999999997,-531090212.50484216
0.38715,-280600014.4269753
0.40049999999999997,-75167804.70482141
0.41385,-516920796.28999776
0.42719999999999997,-361845435.73225886
0.44054999999999994,-192193260.22001493
0.45389999999999997,85273070.07991682
0.46724999999999994,-23115239.054600358
0.48059999999999997,-36112322.7804508
0.49394999999999994,-313231568.9096899
0.5073,-60291995.59407152
0.52065,-68533470.16322851
0.5339999999999999,-113164661.80860628
0.54735,84545608.5221281
0.5607,134245150.15966362
0.57405,28638824.18384907
0.5873999999999999,-559068189.5261052
0.60075,-298108952.67933625
0.6141,234744368.3283567
0.62745,337219854.6278013
0.6407999999999999,-237671444.92840865
0.6541499999999999,-549696768.6573037
0.6675,-292181654.94664514
0.68085,65608333.44642642
0.6941999999999999,150724972.15436155
0.7075499999999999,59291003.21519741
0.7209,54394125.826714896
0.73425,-193552267.91528395
0.7475999999999999,114502892.37389094
0.7609499999999999,12827266.322444228
0.7743,44073544.33158725
0.78765,-129818489.14022624
0.8009999999999999,-210047163.12888846
0.8143499999999999,-40367611.079830855
0.8277,208665885.14613682
0.84105,214057152.00881827
0.8543999999999999,51959289.97710639
0.8677499999999999,179445559.89922485
0.8810999999999999,-167759567.6622886
0.89445,-297327562.4090067
0.9077999999999999,-297158796.04083717
0.9211499999999999,-352534491.56158423
0.9344999999999999,-385085874.4851136
0.94785,44247615.64533759
0.9611999999999999,19571502.55043477
0.9745499999999999,377584702.8674324
0.9878999999999999,310340498.6031553
1.00125,256759747.83060375
1.0146,43333446.76825416
1.02795,-44500558.18460151
1.0413,142086560.9094315
1.0546499999999999,-487365077.30353767
1.0679999999999998,110307036.48325817
1.0813499999999998,-172792317.32061428
1.0947,134099260.88421771
1.10805,4959801.029370868
1.1214,174939948.13388777
1.13475,-392394235.8263168
1.1481,180289029.50263238
1.1614499999999999,-16011644.680480741
1.1747999999999998,20153610.326296724
1.1881499999999998,276659898.6119935
1.2015,105810866.92501695
1.21485,146339363.93573293
1.2282,186935483.97246745
1.24155,-119373775.07802294
1.2549,-186923110.90970853
1.2682499999999999,80529832.3146568
1.2815999999999999,71000553.0234403
1.2949499999999998,474916189.9814634
1.3082999999999998,251529244.90050074
1.32165,217683251.14682493
1.335,388113420.5751608
1.34835,165281483.16442162
1.3617,471442510.16320455
1.3750499999999999,373010972.49396175
1.3883999999999999,180682784.92217562
1.4017499999999998,120641642.97276042
1.4150999999999998,257925462.1926626
1.42845,203868095.77271783
1.4418,65860915.614238486
1.45515,282494858.1703165
1.4685,133335333.17415573
1.48185,180106906.09807467
1.4951999999999999,412924266.44564617
1.5085499999999998,25835211.965828482
1.5218999999999998,438286968.4453897
1.5352499999999998,244222827.32191035
1.5486,212739393.2889626
1.56195,43628905.78768135
1.5753,125418001.64922346
1.58865,155871637.74965152
1.6019999999999999,115469746.41349661
1.6153499999999998,308570976.45981276
1.6286999999999998,237004430.40087986
1.6420499999999998,345269212.45279765
1.6554,380966245.34328014
1.66875,249516127.00886485
1.6821,250263522.2555091
1.69545,293139666.8951599
1.7087999999999999,330784550.83245206
1.7221499999999998,133071860.56158724
1.7354999999999998,499134822.4772149
1.7488499999999998,438190387.84649926
1.7621999999999998,183563704.37510026
1.77555,104280323.67102079
1.7889,419920705.5297544
1.80225,-26457686.952066965
1.8155999999999999,275057224.112449
1.8289499999999999,388029047.4057759
1.8422999999999998,150557095.26015496
1.8556499999999998,119481567.1676766
1.8689999999999998,320964993.4659828
1.88235,223880884.1479551
1.8957,361466220.6510556
1.90905,280809941.4360049
1.9223999999999999,211712373.88820302
1.9357499999999999,201541189.77978325
1.9490999999999998,216818664.08718142
1.9624499999999998,-38878773.50262674
1.9757999999999998,-55086217.62959674
1.9891499999999998,77801964.30043635
2.0025,116877633.92725061
2.01585,127984396.66143778
2.0292,249456741.7827322
2.04255,83614924.67405774
2.0559,66078646.748732686
